Question,Answer
5. 产品优势 -> 广泛兼容的开源框架,"◦ 兼容多种开发框架
应用服务器 TongWeb 支持当前流行的开发框架。
例如：Struts2、Spring、Hibernate、Springboot、JFinal等。
对于使用大型框架（例如：liferay）的应用，同样可以在应用服务器上安全稳定的运行，不需要修改任何应用的代码。
◦ 支持多个 JSF 的实现版本
JSF 的实现版本众多，应用可能会选择不同版本的 JSF 的实现，应用服务器 TongWeb 提供了对此的解决方案，即通过配置来自动支持不同的版本，支持自定义设置。
◦ 可配置的类加载策略
应用服务器 TongWeb 为 Web 应用提供了可配置的类加载策略，当开源框架与应用服务器使用了同一个类的不同版本时，可以灵活的配置应用使用所需要的类。"
5. 产品优势 -> 多运维工具支持,"TongWeb 提供了命令行工具、类加载冲突检测工具，极大地提高了产品安装、应用部署和移植的易用性。
◦ 同一主机安装多个 TongWeb
可通过控制台或者命令行实现在同一台机器上安装多个 TongWeb 实例。安装过程中，会自动修改端口号，避免端口冲突。
◦ 类加载冲突检测
可以检测出应用部署和运行过程中哪些类存在类加载冲突问题，并给出检测报告，方便快速定位和解决应用类加载问题。
◦ 管理控制台页面可配置 JVM 参数
实现了页面上可视化的增加和修改 JVM 参数（比如：JVM 堆内存大小），无需手工修改脚本，使参数配置更加方便快捷。"
5. 产品优势 -> 高稳定、高可靠的集群能力,"Web 应用集群为企业应用提供了高可靠性，应用服务器 TongWeb 的 Web 应用集群具备如下特点：
◦ 高可靠性不存在单点问题
应用服务器 TongWeb 用来保存会话数据的内存缓存服务器可以配置多台组成缓存集群，缓存集群之间可以自动复制数据，不存在单点问题，提供了极高的可靠性。
◦ 缓存服务器支持运行时动态扩展
应用服务器 TongWeb 用来保存会话数据的内存缓存服务器在运行时支持动态扩展，新加入的缓存服务器可以立刻分担负载，从而降低整个集群的压力，并且有效地避免了内存空间不足的问题。
◦ 支持会话中保存非序列化对象
增强的 Web 应用集群可以支持在会话中保存非序列化数据，使其具备更好的兼容性和容错性。"
5. 产品优势 -> 多维度可视化监控维护,应用服务器 TongWeb 提供了完善的监控诊断和快照分析系统，在出现问题或者潜在隐患时会自动生成内容详细的快照，可以分析出之前发生问题的原因，极大地提高了运维效率，降低企业的维护成本。
5. 产品优势 -> 丰富广泛的软硬件适配,"应用服务器 TongWeb 已完成全面的软硬件环境适配，支持多种平台，包括但不限于：
◦ CPU 架构：支持所有流行的 X86 和 ARM 架构，适配龙芯、飞腾、华为鲲鹏、海光、兆芯、申威等。
◦ 操作系统：如 RedHat 系列、Suse Linux 系列、麒麟、统信 UOS、中科方德、欧拉等。
◦ 数据库：如 Oracle、MySQL、达梦、电科金仓、南大通用、神舟通用、华为 GaussDB、MicrosoftSQL Server 等。"
6. 权限管理,"TongWeb 管理控制台权限管理支持 “三员分立，一员监视”。
• 三员分立是指 “系统管理员”、“安全保密管理员”、“安全审计员” 分立。
• 一员监视是指 “系统资源监视管理员” 监视。
为了加强涉密信息系统的管理，减少泄密风险，“三员分立” 要求系统管理员、安全保密管理员、安全审计员间相互独立、相互制约。“一员监视”要求系统资源监视管理员，可查看系统所有资源，但无法写入。
通过系统管理员，您可以创建系统用户，系统用户可以登录 TongWeb 管理控制台、REST 接口等。
TongWeb 用户权限说明，如下表所示。
<table><tr><td>用户名称</td><td>权限说明</td><td>默认用户名及密码</td><td>依赖关系</td></tr><tr><td>系统管理员</td><td>维护、部署、监控及配置操作，创建并管理系统用户。</td><td>thanos/thanos123.com</td><td>无</td></tr><tr><td>安全保密管理员</td><td>对TongWeb的系统角色、操作权限（控制台）、数据权限（实例、集群、节点）进行管理。包括：系统用户角色的创建、查看、编辑、删除以及为系统用户权限分配等。
安全相关的用户、角色、权限等数据均加密存储，保障用户信息不泄漏。</td><td>security/security123.com</td><td>无</td></tr><tr><td>安全审计员</td><td>查询已经生成的审计日志。
系统管理员及安全保密管理员进行的日常操作都会记录在审计日志。</td><td>auditor/auditor123.com</td><td>无</td></tr><tr><td>系统资源监视管理员</td><td>可查看系统所有资源，但无法写入。</td><td>monitor/monitor123.com</td><td>无</td></tr><tr><td>系统用户</td><td>由系统管理员创建，拥有安全保密管理员分配的角色对应的权限。安全保密管理员可指定系统用户可以访问的 URI资源。</td><td>用户名和密码均由系统管理员自定义，这些用户没有预设的默认密码。</td><td>·系统管理员
   系统管理员创建系统用户。
·安全保密管理员
   安全保密管理员负责在系统中创建角色，并将这些角色分配给相应的用户，同时为用户配置数据权限（实例、集群、节点）。</td></tr></table>"
7. 安全审计,"审计日志是信息安全审计功能的核心必备组件，是企事业单位信息系统安全风险管控的重要组成部分。
TongWeb 服务器的审计日志，可用于追踪记录用户对服务器的操作。
用户可通过配置查询条件，精确查找问题发生时的操作及详情，降低发现、定位、解决问题的时间和人力成本。
TongWeb 服务器的审计日志可查找包含管理员、操作对象、操作类型、操作结果、请求地址、客户端IP等信息，帮助用户快速、有效的定位并解决问题。
审计日志存放在 “${tongweb.base}/logs/audit” 目录，并以加密方式存储，保障审计日志的安全性。
注: $\$ 1$ {tongweb.base}：TongWeb 实例运行路径。"
8. 约定说明,"为了方便后续描述，对相关产品的安装路径和实例运行路径做如下约定。
<table><tr><td>路径</td><td>约定说明</td></tr><tr><td>${tongweb.home}</td><td>TongWeb 安装路径。</td></tr><tr><td>${tongweb.base}</td><td>TongWeb 实例运行路径。
例如，默认实例运行路径为“${tongweb.home}/domains/domain1”。</td></tr><tr><td>${ths.home}</td><td>TongHttpServer 安装路径。</td></tr><tr><td>${tdg.home}</td><td>TongDataGrid 安装路径。</td></tr><tr><td>${mq.home}</td><td>TongWeb-MQ 安装路径。</td></tr></table>"
9. Spring Boot 版本支持,"<table><tr><td>分类</td><td>版本信息</td></tr><tr><td>Spring Boot</td><td>• Spring Boot 2.x
• Spring Boot 3.x</td></tr></table>"
10. JavaEE/JakartaEE 规范支持,"TongWeb V8.0 应用服务器支持 JavaEE 8、JakartaEE 8、Jakarta EE 9.1 以及 Jakarta EE 10 技术规范。新版规范提供了许多新的特性用来简化开发人员的工作，提高开发效率。
例如：用注解替代硬编码和 xml 配置文件，异步开发模型等，使得开发人员可以更加专注于业务功能的开发，不需要浪费太多时间在 JavaEE 程序的基础设施上。
JakartaEE 8 技术标准的列表包括：
• Jakarta Enterprise Beans 3.2
• Jakarta Servlet 6.0
• Jakarta Server Pages 2.3
• Jakarta Expression Language 3.0
• Jakarta Messaging 2.0
• Jakarta Transactions 1.3
• Jakarta Mail 1.6
• Jakarta Connectors 1.7
• Jakarta Enterprise Web Services 1.4
• Jakarta RESTful Web Services 2.1
• Jakarta WebSocket 1.1
• Jakarta JSON Processing 1.1
• Jakarta JSON Binding 1.0
• Jakarta Concurrency 1.0
• Jakarta Batch 1.0
• Jakarta Management 1.1
• Jakarta Authorization 1.5
• Jakarta Authentication 1.1
• Jakarta Security 1.0
• Jakarta Debugging Support for Other Languages 1.0
• Jakarta Standard Tag Library 1.2
• Jakarta Web Services Metadata 2.1
• Jakarta Server Faces 2.3
• Jakarta Annotations 1.3
• Jakarta Persistence 2.2
• Jakarta Bean Validation 2.0
• Jakarta Managed Beans 1.0
• Jakarta Interceptors 1.2
• Jakarta Contexts and Dependency Injection 2.0
• Jakarta Dependency Injection 1.0
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-02/7f5d3f83-587b-48a1-8778-3c5ce9b6145a/8e2cf1cf00d8d6917aebc8efdb66dce03d5285416d570f729258a6a15bd15144.jpg)"
